year,month,carrier,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,7,YX,LFT,54.0,14.0,7.33,1.0,1.7,0.0,3.98,1.0,0.0,1241.0,701.0,50.0,85.0,0.0,405.0
2023,3,AA,CAE,62.0,24.0,5.56,1.27,4.27,0.0,12.89,0.0,1.0,1619.0,251.0,241.0,155.0,0.0,972.0
2022,9,WN,CLT,219.0,47.0,24.37,0.0,5.47,0.0,17.17,7.0,0.0,2155.0,1079.0,0.0,240.0,0.0,836.0
2022,10,OH,JAN,119.0,15.0,2.92,0.0,8.49,0.0,3.58,0.0,0.0,478.0,70.0,0.0,232.0,0.0,176.0
2019,9,OH,LYH,86.0,11.0,3.59,1.53,1.93,0.0,3.95,1.0,0.0,656.0,264.0,74.0,53.0,0.0,265.0
2020,2,B6,CHS,144.0,20.0,9.48,0.0,7.05,0.24,3.22,0.0,0.0,894.0,398.0,0.0,275.0,12.0,209.0
2018,7,9E,ATL,2466.0,380.0,55.88,30.18,136.75,0.02,157.18,10.0,14.0,31302.0,6624.0,3222.0,8407.0,2.0,13047.0
2022,1,AA,DTW,302.0,51.0,27.47,1.05,7.02,0.65,14.81,11.0,0.0,2896.0,1400.0,104.0,304.0,28.0,1060.0
2015,1,MQ,PIA,173.0,56.0,18.14,7.5,14.41,0.0,15.95,12.0,0.0,3308.0,1018.0,578.0,626.0,0.0,1086.0
2017,4,EV,OKC,45.0,9.0,2.31,0.0,1.11,0.0,5.58,2.0,0.0,653.0,212.0,0.0,61.0,0.0,380.0
2015,2,EV,VLD,78.0,11.0,5.81,0.0,1.63,0.0,3.56,2.0,2.0,498.0,291.0,0.0,53.0,0.0,154.0
2023,5,G4,PVD,20.0,3.0,1.92,0.0,1.08,0.0,0.0,0.0,0.0,127.0,106.0,0.0,21.0,0.0,0.0
2018,10,YV,GSP,131.0,20.0,11.0,3.0,0.0,0.0,6.0,1.0,0.0,2071.0,550.0,994.0,0.0,0.0,527.0
